@RELATION amazon

@ATTRIBUTE id string
@ATTRIBUTE mean_r numeric
@ATTRIBUTE mean_g numeric
@ATTRIBUTE mean_b numeric
@ATTRIBUTE mean_intensity numeric
@ATTRIBUTE gray_histogram_0 numeric
@ATTRIBUTE gray_histogram_1 numeric
@ATTRIBUTE gray_histogram_2 numeric
@ATTRIBUTE gray_histogram_3 numeric
@ATTRIBUTE gray_histogram_4 numeric
@ATTRIBUTE gray_histogram_5 numeric
@ATTRIBUTE gray_histogram_6 numeric
@ATTRIBUTE gray_histogram_7 numeric
@ATTRIBUTE gray_histogram_8 numeric
@ATTRIBUTE gray_histogram_9 numeric
@ATTRIBUTE gray_histogram_10 numeric
@ATTRIBUTE gray_histogram_11 numeric
@ATTRIBUTE gray_histogram_12 numeric
@ATTRIBUTE gray_histogram_13 numeric
@ATTRIBUTE gray_histogram_14 numeric
@ATTRIBUTE gray_histogram_15 numeric
@ATTRIBUTE lbp_histogram_0 numeric
@ATTRIBUTE lbp_histogram_1 numeric
@ATTRIBUTE lbp_histogram_2 numeric
@ATTRIBUTE lbp_histogram_3 numeric
@ATTRIBUTE lbp_histogram_4 numeric
@ATTRIBUTE lbp_histogram_5 numeric
@ATTRIBUTE lbp_histogram_6 numeric
@ATTRIBUTE lbp_histogram_7 numeric
@ATTRIBUTE lbp_histogram_8 numeric
@ATTRIBUTE lbp_histogram_9 numeric
@ATTRIBUTE lbp_histogram_10 numeric
@ATTRIBUTE lbp_histogram_11 numeric
@ATTRIBUTE lbp_histogram_12 numeric
@ATTRIBUTE lbp_histogram_13 numeric
@ATTRIBUTE lbp_histogram_14 numeric
@ATTRIBUTE lbp_histogram_15 numeric
@ATTRIBUTE class {forest,water,grass,dirty,human-made}

@DATA
'00121.1',100.625487,108.787544,108.113411,106.264180,0.015679,0.208441,0.289973,0.246257,0.261106,0.314754,0.358046,0.399897,0.406880,0.339570,0.234493,0.127248,0.058954,0.024663,0.009187,0.003594,0.221286,0.093977,0.091252,0.067948,0.050442,0.037847,0.035693,0.035772,0.035709,0.036833,0.041190,0.042933,0.043883,0.044564,0.041301,0.079370,forest
'00101.5',102.583529,111.846337,106.482835,108.459544,0.016013,0.164196,0.226679,0.224218,0.256243,0.320517,0.390977,0.417041,0.439910,0.346154,0.219457,0.106697,0.049727,0.021750,0.009522,0.004883,0.233855,0.094140,0.091269,0.070323,0.051633,0.039517,0.035656,0.034369,0.035973,0.034686,0.036587,0.040012,0.038646,0.041002,0.041675,0.080657,forest
'00101.4',142.235251,148.035295,137.195624,145.065089,0.002012,0.022980,0.053982,0.064118,0.076576,0.113690,0.188692,0.291962,0.431701,0.506368,0.499456,0.352779,0.174352,0.069844,0.025637,0.013747,0.272044,0.112603,0.103820,0.074310,0.050535,0.037377,0.028742,0.030398,0.030368,0.029245,0.030989,0.032024,0.032616,0.035395,0.033946,0.065586,?
'00101.1',163.995151,154.401293,152.183946,157.024303,0.000000,0.000000,0.000763,0.017091,0.055089,0.058294,0.083778,0.170456,0.340454,0.542804,0.601708,0.386540,0.168167,0.073401,0.036167,0.014650,0.289681,0.123291,0.107335,0.077704,0.045586,0.036676,0.026937,0.023415,0.025694,0.025073,0.028388,0.031496,0.035433,0.043307,0.025694,0.054289,?
'00101.3',73.152240,79.310230,85.606235,78.188257,0.048367,0.302514,0.368469,0.380781,0.392213,0.427389,0.364072,0.335052,0.197865,0.067714,0.018467,0.001759,0.000879,0.000000,0.000000,0.000000,0.267370,0.107300,0.085312,0.073879,0.053650,0.039578,0.033421,0.032542,0.029024,0.037819,0.037819,0.031662,0.034301,0.046614,0.025506,0.064204,forest
'00101.2',98.402677,108.092137,99.850611,104.249174,0.003278,0.075393,0.176148,0.243950,0.310890,0.395945,0.461332,0.434590,0.392494,0.268794,0.138710,0.052620,0.017770,0.004141,0.000518,0.000690,0.277818,0.116928,0.105254,0.077891,0.052353,0.035571,0.029004,0.028639,0.024079,0.024991,0.024079,0.036483,0.033200,0.033747,0.030646,0.069318,forest
'00080.1',111.210790,110.272996,101.270579,109.527547,0.000164,0.005654,0.010163,0.026985,0.081563,0.305924,0.699252,0.613063,0.176606,0.042872,0.025794,0.017079,0.009789,0.003621,0.001332,0.000397,0.370612,0.176477,0.122924,0.073208,0.046037,0.036525,0.025752,0.017711,0.015766,0.014190,0.013717,0.013874,0.013401,0.017395,0.012087,0.030324,grass
'00080.3',107.397296,104.556015,111.808918,106.240016,0.000034,0.010955,0.015680,0.090586,0.218626,0.381893,0.603531,0.573473,0.306131,0.101576,0.024889,0.003697,0.001061,0.000308,0.000103,0.000000,0.336765,0.169204,0.114129,0.070486,0.048317,0.034990,0.028106,0.022800,0.020969,0.020653,0.017811,0.016485,0.017179,0.019769,0.017242,0.045096,grass
'00080.2',158.566938,150.070532,142.543726,151.757335,0.000112,0.001436,0.002010,0.004993,0.013846,0.031904,0.086029,0.279797,0.529923,0.571095,0.477394,0.251115,0.112334,0.045782,0.019334,0.007115,0.369896,0.187777,0.119606,0.069452,0.043661,0.029782,0.021682,0.019269,0.016023,0.013640,0.014295,0.014266,0.013521,0.019716,0.014712,0.032701,grass
'00343.1',92.325896,97.797019,99.184089,96.325518,0.028498,0.165511,0.261073,0.313476,0.370295,0.399205,0.406859,0.395790,0.345271,0.219092,0.126533,0.054817,0.020431,0.007066,0.002355,0.000294,0.254569,0.104552,0.096850,0.073629,0.052017,0.040867,0.033797,0.031958,0.033682,0.033854,0.032705,0.036843,0.034889,0.037246,0.035119,0.067422,forest
'02486.1',138.321784,144.233402,128.028466,140.617540,0.001076,0.021848,0.068774,0.097838,0.117773,0.157921,0.212940,0.307230,0.410491,0.505737,0.489311,0.333623,0.161230,0.070090,0.025795,0.010007,0.250902,0.105033,0.096618,0.071972,0.050613,0.039392,0.032059,0.030296,0.032219,0.033983,0.035986,0.036868,0.037749,0.039713,0.035505,0.071091,forest
'02863.4',91.204491,96.477091,95.274339,94.767510,0.021696,0.163604,0.261575,0.300508,0.380104,0.418356,0.440824,0.388064,0.305557,0.207950,0.103384,0.044346,0.018102,0.004867,0.001274,0.000318,0.219756,0.086248,0.086586,0.070931,0.056458,0.045403,0.038567,0.038989,0.038989,0.040086,0.041943,0.044390,0.040550,0.040761,0.038989,0.071353,forest
'01586.6',77.962718,95.646438,99.210267,90.760105,0.001602,0.032708,0.132342,0.311289,0.504114,0.572392,0.445918,0.278888,0.139579,0.068781,0.035858,0.020629,0.011935,0.006696,0.003420,0.002052,0.212621,0.085675,0.081385,0.065405,0.052820,0.046721,0.047026,0.049404,0.047331,0.046131,0.043244,0.042939,0.039808,0.039015,0.034929,0.065547,forest
'02863.2',159.616780,164.848533,145.736401,161.103737,0.000164,0.002631,0.012607,0.026476,0.048730,0.072630,0.111712,0.180834,0.309374,0.476176,0.534005,0.474641,0.295232,0.145533,0.060954,0.036671,0.279556,0.110385,0.105487,0.077596,0.055650,0.043370,0.034879,0.031156,0.028543,0.026453,0.027890,0.025931,0.029654,0.031548,0.028805,0.063096,forest
'02863.3',52.532528,62.200325,79.382284,61.265801,0.024307,0.333948,0.536528,0.550321,0.465861,0.241841,0.119760,0.067390,0.043630,0.025331,0.012973,0.006828,0.003482,0.001775,0.000546,0.000410,0.221258,0.095583,0.089430,0.070128,0.055883,0.040290,0.039278,0.034895,0.041049,0.041807,0.040880,0.042313,0.036918,0.040796,0.034727,0.074764,forest
'00778.2',110.561465,115.277684,108.331252,113.078318,0.016367,0.079737,0.141285,0.182666,0.227985,0.323556,0.423855,0.461798,0.466285,0.347333,0.200787,0.098081,0.045851,0.018086,0.005828,0.003009,0.264629,0.108564,0.106000,0.080720,0.053560,0.038233,0.034054,0.028888,0.029667,0.029819,0.030750,0.031965,0.032288,0.034738,0.030978,0.065146,forest
'02494.1',96.948879,102.226570,101.012836,100.513427,0.018854,0.161254,0.237729,0.282479,0.318872,0.363802,0.402439,0.444146,0.392509,0.258801,0.135488,0.062005,0.026515,0.010833,0.003714,0.001109,0.213788,0.082371,0.086244,0.069880,0.052805,0.044142,0.039352,0.037243,0.036945,0.039146,0.040131,0.043523,0.042400,0.045334,0.040750,0.085946,forest
'00447.4',209.646988,202.121784,202.700018,204.435746,0.000000,0.000000,0.000043,0.000043,0.000259,0.000216,0.000518,0.001252,0.005267,0.019859,0.133963,0.349219,0.642357,0.581139,0.327676,0.044251,0.313419,0.157990,0.103702,0.068832,0.041894,0.030491,0.025285,0.023798,0.023137,0.023219,0.025863,0.026277,0.028012,0.031482,0.023632,0.052966,dirty
'02494.3',150.036859,155.354128,141.424181,152.175460,0.000232,0.008700,0.038861,0.069601,0.088896,0.121145,0.154592,0.229723,0.349592,0.476073,0.517215,0.438217,0.261237,0.118090,0.054482,0.027493,0.247394,0.095843,0.100875,0.071523,0.052354,0.040174,0.036221,0.034663,0.033305,0.033305,0.035302,0.036061,0.036021,0.038337,0.034783,0.073839,forest
'00447.2',187.745166,180.681261,169.255688,181.491151,0.000000,0.000012,0.000388,0.001589,0.003696,0.009664,0.014467,0.021741,0.037491,0.085188,0.432133,0.753286,0.473379,0.110167,0.011865,0.001106,0.356222,0.189605,0.110998,0.056852,0.031239,0.021567,0.017147,0.015244,0.015887,0.017897,0.019719,0.022050,0.025050,0.026792,0.023336,0.050395,grass
'00447.3',158.697961,153.967361,144.765106,154.321931,0.000000,0.000000,0.000669,0.003251,0.020990,0.059002,0.068135,0.085539,0.151139,0.516820,0.813170,0.180545,0.017691,0.002725,0.000669,0.000191,0.262567,0.144977,0.086580,0.047001,0.032070,0.024560,0.020762,0.022263,0.028713,0.029508,0.039314,0.047796,0.049386,0.047972,0.042230,0.074300,grass
'00447.1',41.723164,52.409069,72.673210,51.517103,0.039377,0.278374,0.559094,0.722231,0.278765,0.083407,0.039064,0.020216,0.011770,0.003676,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.212872,0.119430,0.072290,0.051525,0.043206,0.036371,0.030631,0.036177,0.036758,0.042884,0.046237,0.050364,0.052428,0.052750,0.043529,0.072548,grass
'00568.2',218.752903,227.632458,218.033038,223.898200,0.000000,0.000000,0.000022,0.000324,0.001871,0.006498,0.014986,0.023182,0.031876,0.043488,0.059556,0.096146,0.172688,0.268996,0.408663,0.845168,0.328907,0.205547,0.108842,0.055592,0.039776,0.029094,0.021226,0.018845,0.018885,0.018924,0.018845,0.020498,0.020950,0.023370,0.021973,0.048726,forest
'00568.3',55.087908,78.232267,100.020831,73.789397,0.073600,0.155005,0.350713,0.492616,0.509900,0.424592,0.355174,0.177587,0.073878,0.031224,0.019515,0.010315,0.001952,0.000558,0.000000,0.000000,0.239542,0.103152,0.076791,0.059312,0.055301,0.046418,0.038109,0.040974,0.039542,0.038682,0.032665,0.041261,0.039255,0.049570,0.030659,0.068768,forest
'00568.1',90.157479,122.422173,149.913271,115.897906,0.000185,0.008065,0.040048,0.143550,0.286498,0.405946,0.495775,0.471672,0.382863,0.261978,0.172984,0.119587,0.052284,0.019004,0.006721,0.001715,0.236454,0.098348,0.086983,0.067499,0.055530,0.047365,0.041937,0.042262,0.040128,0.038133,0.037994,0.035953,0.036417,0.037391,0.031453,0.066153,forest
'00135.1',96.647298,106.419316,102.258489,103.016277,0.019940,0.208337,0.270322,0.230599,0.281259,0.332763,0.401711,0.414952,0.411874,0.305859,0.183526,0.088853,0.039002,0.015228,0.005416,0.002110,0.224666,0.093662,0.094412,0.071444,0.050864,0.040224,0.035671,0.033523,0.034682,0.035756,0.037444,0.041554,0.040497,0.043736,0.040019,0.081846,forest
'00135.2',152.331168,156.753802,140.724512,153.599350,0.001118,0.010639,0.032387,0.044658,0.061042,0.089964,0.136567,0.205856,0.350068,0.466831,0.556885,0.457041,0.237305,0.082678,0.031247,0.019580,0.280299,0.116891,0.107559,0.074900,0.049656,0.036936,0.032882,0.028244,0.027938,0.027938,0.027855,0.028744,0.029271,0.032271,0.031660,0.066957,forest
'01586.2',50.339565,62.677503,66.934084,59.463052,0.014102,0.187639,0.437230,0.633354,0.542283,0.270418,0.069666,0.014271,0.004966,0.002507,0.001157,0.000121,0.000048,0.000000,0.000000,0.000000,0.176497,0.069199,0.065812,0.058785,0.052379,0.047751,0.048823,0.052605,0.052746,0.055427,0.053310,0.050319,0.047723,0.046086,0.042840,0.079697,forest
